NUM,Pot,TreatmentGroup,Exp1Group,Plant,Date1,Height1,Date2,Height2,Notes2,Date3,Height3,Notes3,Date4,Height4,Notes4,Date5,Height5,Notes5,Date6,Height6,Notes6,Date7,Height7,Notes7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,164,12,2,Privet,16/10/2023,41,15/11/2023,45,,12/09/2023,51,,20/01/2024,58.5,,20/02/2024,62,,20/03/2024,,,20/04/2024,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,164,12,2,Nightshade,16/10/2023,56,15/11/2023,65,,12/09/2023,77,,20/01/2024,74,,20/02/2024,78,,20/03/2024,,,20/04/2024,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,189,10,2,Manuka Sapling,14/10/2023,107,15/11/2023,112,,12/09/2023,115.5,,20/01/2024,121,,20/02/2024,116,,20/03/2024,120.5,,20/04/2024,112.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,189,10,2,Wattle,11/09/2023,,15/11/2023,30.5,,12/09/2023,33,,20/01/2024,33,"dead, pulled out",20/02/2024,,"dead, fell out",20/03/2024,,"dead, fell out",20/04/2024,,"dead, fell out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,189,10,2,Privet,16/10/2023,50,15/11/2023,51.5,,12/09/2023,56,,20/01/2024,66,,20/02/2024,72,,20/03/2024,73,,20/04/2024,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,189,10,2,Nightshade,16/10/2023,41.5,15/11/2023,40.5,,12/09/2023,46.5,,20/01/2024,56,,20/02/2024,56.5,,20/03/2024,60.5,,20/04/2024,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,44,4,4,Manuka Sapling,14/10/2023,162,15/11/2023,169,,12/09/2023,173,,20/01/2024,180,,20/02/2024,183,,20/03/2024,153.5,broke (was 181),20/04/2024,156.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,44,4,4,Manuka Seedling,16/10/2023,43,15/11/2023,43,,12/09/2023,42,,20/01/2024,46,,20/02/2024,42,,20/03/2024,44,,20/04/2024,44,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,44,4,4,Wattle,16/10/2023,46,15/11/2023,14,dead,12/09/2023,,dead (fell out),20/01/2024,,,20/02/2024,,"dead, fell out",20/03/2024,1,dead,20/04/2024,5,"dead, fell out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,44,4,4,Nightshade,16/10/2023,54,15/11/2023,40.5,,12/09/2023,40,,20/01/2024,74,,20/02/2024,84,,20/03/2024,89,,20/04/2024,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,152,8,8,Manuka Sapling,14/10/2023,72,15/11/2023,71.5,,12/09/2023,74,,20/01/2024,73.5,dying,20/02/2024,66,dead,20/03/2024,68,dead,20/04/2024,68,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,152,8,8,Privet,16/10/2023,20,15/11/2023,29,,12/09/2023,38,,20/01/2024,59.5,,20/02/2024,71,,20/03/2024,78.5,,20/04/2024,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,152,8,8,Privet,16/10/2023,22.5,15/11/2023,31.5,,12/09/2023,33.5,,20/01/2024,44,,20/02/2024,41,,20/03/2024,54,,20/04/2024,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,152,8,8,Privet,16/10/2023,13,15/11/2023,19.5,,12/09/2023,26.5,,20/01/2024,37,,20/02/2024,37.5,,20/03/2024,47,,20/04/2024,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,123,11,2,Manuka Sapling,14/10/2023,91.5,15/11/2023,85,,12/09/2023,90,,20/01/2024,98,,20/02/2024,91,,20/03/2024,91,,20/04/2024,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,123,11,2,Manuka Seedling,11/09/2023,40,15/11/2023,39,mostly dead,12/09/2023,39,dead,20/01/2024,39,,20/02/2024,39,,20/03/2024,36.5,dead,20/04/2024,37.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,123,11,2,Wattle,16/10/2023,17,15/11/2023,17,,12/09/2023,18,,20/01/2024,14,,20/02/2024,14,,20/03/2024,13,"dead, broken",20/04/2024,24,"dead, fell out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,123,11,2,Privet,16/10/2023,22,15/11/2023,30,,12/09/2023,30.5,,20/01/2024,37.5,,20/02/2024,44.5,,20/03/2024,56.5,,20/04/2024,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,251,18,4,Manuka Sapling,14/10/2023,82,15/11/2023,123.5,,12/09/2023,102,,20/01/2024,108,,20/02/2024,109.5,,20/03/2024,111,,20/04/2024,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,251,18,4,Manuka Seedling,16/10/2023,54,15/11/2023,52.5,,12/09/2023,53,,20/01/2024,57.5,,20/02/2024,59.5,,20/03/2024,56,dead,20/04/2024,54.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,251,18,4,Wattle,16/10/2023,55,15/11/2023,58,,12/09/2023,56,,20/01/2024,57,,20/02/2024,61,,20/03/2024,66,,20/04/2024,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,251,18,4,Nightshade,16/10/2023,43,15/11/2023,39,,12/09/2023,39,,20/01/2024,43,,20/02/2024,41,,20/03/2024,47,,20/04/2024,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,54,8,8,Manuka Sapling,14/10/2023,120,15/11/2023,128.5,,12/09/2023,130,,20/01/2024,130,,20/02/2024,130.5,,20/03/2024,131,,20/04/2024,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,54,8,8,Privet,16/10/2023,19,15/11/2023,25,,12/09/2023,29,,20/01/2024,40,,20/02/2024,47,,20/03/2024,50,,20/04/2024,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,54,8,8,Privet,16/10/2023,20,15/11/2023,21,,12/09/2023,23,,20/01/2024,37,,20/02/2024,49,,20/03/2024,56.5,,20/04/2024,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,54,8,8,Privet,16/10/2023,16,15/11/2023,25.5,,12/09/2023,29,,20/01/2024,40,,20/02/2024,48.5,,20/03/2024,57.5,,20/04/2024,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,202,7,7,Manuka Sapling,14/10/2023,90,15/11/2023,91.5,,12/09/2023,93,,20/01/2024,94,,20/02/2024,90,dead,20/03/2024,90,dead,20/04/2024,84.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,202,7,7,Wattle,11/09/2023,24.5,15/11/2023,23.5,dead,12/09/2023,7.5,dead,20/01/2024,27.5,dead,20/02/2024,,"dead, fell out",20/03/2024,,"dead, fell out",20/04/2024,,"dead, fell out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,202,7,7,Wattle,11/09/2023,30,15/11/2023,29,dead,12/09/2023,26,dead,20/01/2024,,,20/02/2024,25,,20/03/2024,27,,20/04/2024,27,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,202,7,7,Wattle,16/10/2023,30,15/11/2023,40,switched to 73,12/09/2023,,,20/01/2024,,,20/02/2024,,"dead, fell out",20/03/2024,,"dead, fell out",20/04/2024,,"dead, fell out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,172,5,5,Manuka Sapling,14/10/2023,98,15/11/2023,105,,12/09/2023,108,,20/01/2024,116.5,,20/02/2024,,,20/03/2024,119,,20/04/2024,118,mostly dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,172,5,5,Manuka Seedling,16/10/2023,60,15/11/2023,59,,12/09/2023,58,dead,20/01/2024,60,,20/02/2024,59,,20/03/2024,60,dead,20/04/2024,61,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,172,5,5,Wattle,11/09/2023,29,15/11/2023,28,mostly dead,12/09/2023,26,,20/01/2024,22,dead,20/02/2024,23,dead,20/03/2024,21,dead,20/04/2024,30,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,172,5,5,Privet,16/10/2023,25,15/11/2023,28,,12/09/2023,31,,20/01/2024,56.5,,20/02/2024,64.5,,20/03/2024,65,,20/04/2024,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,171,11,2,Manuka Sapling,14/10/2023,59,15/11/2023,65,,12/09/2023,69.5,,20/01/2024,73,,20/02/2024,79.5,,20/03/2024,78.5,,20/04/2024,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,171,11,2,Wattle,16/10/2023,31.5,15/11/2023,29.5,,12/09/2023,29,,20/01/2024,31.5,,20/02/2024,27,dead,20/03/2024,30,dead,20/04/2024,28.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,171,11,2,Privet,16/10/2023,6.5,15/11/2023,11,,12/09/2023,14,,20/01/2024,27,,20/02/2024,28,,20/03/2024,35,,20/04/2024,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,171,11,2,Nightshade,16/10/2023,8,15/11/2023,8.5,,12/09/2023,9,,20/01/2024,12,,20/02/2024,11,,20/03/2024,13,,20/04/2024,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,214,14,3,Manuka Sapling,14/10/2023,113,15/11/2023,119.5,,12/09/2023,126.5,,20/01/2024,138,,20/02/2024,140,,20/03/2024,139.5,,20/04/2024,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,214,14,3,Manuka Seedling,16/10/2023,48,15/11/2023,48,,12/09/2023,51.5,,20/01/2024,54.5,,20/02/2024,47,,20/03/2024,45,dead,20/04/2024,46.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,214,14,3,Privet,16/10/2023,28,15/11/2023,29,,12/09/2023,28,,20/01/2024,35,,20/02/2024,43.5,,20/03/2024,47,,20/04/2024,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,214,14,3,Nightshade,16/10/2023,43,15/11/2023,41.5,,12/09/2023,20,,20/01/2024,38,,20/02/2024,21,,20/03/2024,37.5,,20/04/2024,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,167,4,4,Manuka Sapling,14/10/2023,79.5,15/11/2023,77,,12/09/2023,72.5,snapped off,20/01/2024,72.5,,20/02/2024,72,,20/03/2024,76.5,,20/04/2024,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,167,4,4,Manuka Seedling,16/10/2023,36,15/11/2023,31,,12/09/2023,34,,20/01/2024,43.5,,20/02/2024,47,,20/03/2024,48,,20/04/2024,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,167,4,4,Wattle,11/09/2023,15,15/11/2023,8.5,dead,12/09/2023,13,,20/01/2024,12,dead,20/02/2024,12,dead,20/03/2024,6,dead,20/04/2024,9,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,167,4,4,Nightshade,16/10/2023,38.5,15/11/2023,47,,12/09/2023,44,,20/01/2024,44,,20/02/2024,46,,20/03/2024,52,,20/04/2024,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,236,15,3,Manuka Sapling,14/10/2023,68.5,15/11/2023,68.5,dry,12/09/2023,69,,20/01/2024,51,dead,20/02/2024,66,dead,20/03/2024,69,dead,20/04/2024,67,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,236,15,3,Manuka Seedling,16/10/2023,49.5,15/11/2023,54.5,,12/09/2023,56.5,,20/01/2024,56,,20/02/2024,56,,20/03/2024,55,dead,20/04/2024,55.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,236,15,3,Privet,16/10/2023,50.3,15/11/2023,53,,12/09/2023,53,,20/01/2024,39,,20/02/2024,56.5,,20/03/2024,62,,20/04/2024,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,236,15,3,Nightshade,16/10/2023,36,15/11/2023,40,,12/09/2023,42,,20/01/2024,37,,20/02/2024,45,,20/03/2024,46,,20/04/2024,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,141,9,2,Manuka Sapling,14/10/2023,59,15/11/2023,59,dry,12/09/2023,59.5,snapped off,20/01/2024,63.5,,20/02/2024,62,,20/03/2024,62.5,dead,20/04/2024,62,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,141,9,2,Wattle,11/09/2023,29.5,15/11/2023,30,,12/09/2023,31,,20/01/2024,44,,20/02/2024,46,,20/03/2024,58,,20/04/2024,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,141,9,2,Privet,16/10/2023,16,15/11/2023,24.5,,12/09/2023,31.5,,20/01/2024,51,,20/02/2024,67,,20/03/2024,81,,20/04/2024,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,141,9,2,Nightshade,16/10/2023,,15/11/2023,,,12/09/2023,,,20/01/2024,,,20/02/2024,,,20/03/2024,,missing,20/04/2024,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,217,9,2,Manuka Sapling,14/10/2023,76.5,15/11/2023,75,,12/09/2023,74.5,,20/01/2024,74.5,,20/02/2024,72,dead,20/03/2024,73.5,dead,20/04/2024,75,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,217,9,2,Wattle,11/09/2023,48,15/11/2023,42,dead,12/09/2023,45.5,,20/01/2024,41,,20/02/2024,37,,20/03/2024,36,dead,20/04/2024,36,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,217,9,2,Privet,16/10/2023,39,15/11/2023,43.5,,12/09/2023,57,,20/01/2024,78,,20/02/2024,93,,20/03/2024,109,,20/04/2024,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,217,9,2,Nightshade,16/10/2023,36,15/11/2023,40,,12/09/2023,46,,20/01/2024,52,,20/02/2024,55,,20/03/2024,55.5,,20/04/2024,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,28,14,3,Manuka Sapling,14/10/2023,70.5,15/11/2023,69,,12/09/2023,70,,20/01/2024,74,,20/02/2024,72,,20/03/2024,74,dead,20/04/2024,71,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,28,14,3,Manuka Seedling,16/10/2023,47,15/11/2023,55.5,,12/09/2023,61,,20/01/2024,70,,20/02/2024,12,dead,20/03/2024,70.5,,20/04/2024,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,28,14,3,Privet,16/10/2023,27.5,15/11/2023,31,,12/09/2023,44,,20/01/2024,59.5,,20/02/2024,22,,20/03/2024,63.5,,20/04/2024,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,28,14,3,Nightshade,16/10/2023,30.5,15/11/2023,38,,12/09/2023,37,,20/01/2024,45,,20/02/2024,10,,20/03/2024,50,,20/04/2024,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,229,2,2,Manuka Sapling,14/10/2023,66,15/11/2023,65,,12/09/2023,68,,20/01/2024,64,,20/02/2024,66,,20/03/2024,66.5,,20/04/2024,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,229,2,2,Wattle,11/09/2023,19,15/11/2023,13,dead,12/09/2023,10,dead,20/01/2024,10,dead,20/02/2024,49,,20/03/2024,10,"dead, broken, fell out",20/04/2024,,"dead, broken, fell out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,229,2,2,Privet,16/10/2023,10,15/11/2023,13.5,,12/09/2023,16,,20/01/2024,16,,20/02/2024,38,,20/03/2024,23.5,,20/04/2024,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,229,2,2,Nightshade,16/10/2023,2,15/11/2023,5,,12/09/2023,8,,20/01/2024,10.5,,20/02/2024,40,,20/03/2024,11,,20/04/2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,234,4,4,Manuka Sapling,14/10/2023,69,15/11/2023,70.5,,12/09/2023,70,,20/01/2024,66.5,,20/02/2024,66,dead,20/03/2024,64.5,dead,20/04/2024,63,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,234,4,4,Manuka Seedling,16/10/2023,49,15/11/2023,48.5,,12/09/2023,49,,20/01/2024,51.5,,20/02/2024,52,,20/03/2024,52.5,,20/04/2024,50,mostly dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,234,4,4,Wattle,11/09/2023,,15/11/2023,40.5,,12/09/2023,39.5,dead,20/01/2024,39,,20/02/2024,60,,20/03/2024,35,dead,20/04/2024,33,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,234,4,4,Nightshade,16/10/2023,22,15/11/2023,27,,12/09/2023,37,,20/01/2024,36,,20/02/2024,13,,20/03/2024,41,,20/04/2024,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,125,16,4,Manuka Sapling,14/10/2023,72,15/11/2023,73.5,,12/09/2023,74.5,,20/01/2024,97,,20/02/2024,114,,20/03/2024,120,,20/04/2024,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,125,16,4,Manuka Seedling,16/10/2023,49,15/11/2023,49.5,,12/09/2023,52,,20/01/2024,51,,20/02/2024,32,,20/03/2024,52,dead,20/04/2024,52,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,125,16,4,Wattle,16/10/2023,41.5,15/11/2023,40.5,,12/09/2023,39,,20/01/2024,59,,20/02/2024,84,,20/03/2024,70,,20/04/2024,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,125,16,4,Nightshade,16/10/2023,13,15/11/2023,13.5,,12/09/2023,11,,20/01/2024,13,,20/02/2024,46,,20/03/2024,15,,20/04/2024,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,84,1,1,Manuka Sapling,14/10/2023,79,15/11/2023,82.5,,12/09/2023,83,,20/01/2024,86,,20/02/2024,86,,20/03/2024,86,,20/04/2024,85.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,84,1,1,Manuka Seedling,16/10/2023,29,15/11/2023,29,,12/09/2023,39,,20/01/2024,33,,20/02/2024,51,,20/03/2024,23,dead,20/04/2024,27.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,84,1,1,Manuka Seedling,16/10/2023,67,15/11/2023,68,,12/09/2023,71,,20/01/2024,83.5,,20/02/2024,74,,20/03/2024,72,,20/04/2024,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,84,1,1,Manuka Seedling,16/10/2023,47,15/11/2023,47,,12/09/2023,47,,20/01/2024,45,,20/02/2024,39,,20/03/2024,23,dead,20/04/2024,47,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,197,20,5,Manuka Sapling,14/10/2023,69.5,15/11/2023,68.5,,12/09/2023,66,,20/01/2024,70,,20/02/2024,63,,20/03/2024,47,,20/04/2024,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,197,20,5,Manuka Seedling,16/10/2023,39,15/11/2023,42,,12/09/2023,43,,20/01/2024,48.5,,20/02/2024,51,,20/03/2024,48.5,dead,20/04/2024,49,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,197,20,5,Wattle,11/09/2023,19,15/11/2023,20,,12/09/2023,22,,20/01/2024,45.5,,20/02/2024,39,,20/03/2024,43,,20/04/2024,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,197,20,5,Privet,16/10/2023,25,15/11/2023,24.5,,12/09/2023,22,,20/01/2024,36,,20/02/2024,63,,20/03/2024,81,,20/04/2024,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,200,5,5,Manuka Sapling,14/10/2023,68,15/11/2023,68,dead,12/09/2023,66,dead,20/01/2024,64.5,dead,20/02/2024,64,dead,20/03/2024,65,dead,20/04/2024,65.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,200,5,5,Manuka Seedling,16/10/2023,53,15/11/2023,53,,12/09/2023,55.5,,20/01/2024,57,,20/02/2024,56,,20/03/2024,58,dead,20/04/2024,57,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,200,5,5,Wattle,16/10/2023,12,15/11/2023,8,dead,12/09/2023,10,dead,20/01/2024,10,dead,20/02/2024,10,dead,20/03/2024,7,dead,20/04/2024,9,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,200,5,5,Privet,16/10/2023,24.5,15/11/2023,38.5,,12/09/2023,44,,20/01/2024,69,,20/02/2024,88,,20/03/2024,107,,20/04/2024,110.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,118,10,2,Manuka Sapling,17/10/2023,69.5,18/11/2023,68,,12/10/2023,68,rough ,21/01/2024,69,mostly dead,21/02/2024,68,dead,21/03/2024,69.5,dead,21/04/2024,69.5,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,118,10,2,Wattle,17/10/2023,50,20/11/2023,43.5,,12/10/2023,42.5,dead,21/01/2024,42,dead,21/02/2024,42,dead,21/03/2024,42.5,dead,21/04/2024,,"dead, gone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,118,10,2,Privet,17/10/2023,10,20/11/2023,14.5,,12/10/2023,16.5,,21/01/2024,22,,21/02/2024,26,,21/03/2024,24.5,,21/04/2024,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,118,10,2,Nightshade,11/09/2023,15.5,20/11/2023,18,,12/10/2023,16,,21/01/2024,20,,21/02/2024,21,,21/03/2024,17.5,,21/04/2024,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,42,13,3,Manuka Sapling,17/10/2023,83,18/11/2023,86,,12/10/2023,88.5,rough ,21/01/2024,95,,21/02/2024,98,,21/03/2024,98,,21/04/2024,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,42,13,3,Manuka Seedling,17/10/2023,35.5,20/11/2023,13,,12/10/2023,36,,21/01/2024,37,dead,21/02/2024,36,dead,21/03/2024,25.5,dead,21/04/2024,25,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,42,13,3,Privet,17/10/2023,10,20/11/2023,14.5,,12/10/2023,16,,21/01/2024,22.5,,21/02/2024,23,,21/03/2024,21.5,,21/04/2024,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,42,13,3,Nightshade,17/10/2023,17,20/11/2023,19.5,,12/10/2023,21.5,,21/01/2024,19.5,,21/02/2024,22,,21/03/2024,22,,21/04/2024,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,254,3,3,Manuka Sapling,17/10/2023,116.5,18/11/2023,132.5,,12/10/2023,148,,21/01/2024,165,,21/02/2024,191,,21/03/2024,199,,21/04/2024,210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,254,3,3,Manuka Seedling,17/10/2023,49,20/11/2023,50,,12/10/2023,54,,21/01/2024,63.5,,21/02/2024,64,,21/03/2024,63,,21/04/2024,54,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
