CreationDate,EndOutcome,Flowers_Seeds_PodsMothPlant,HeightMetresMothPlant,Area_m2MothPlant,OldestGrowthStageMothPlant,Flowers_Seeds_PodsGinger,Height_metresGinger,Area_m2Ginger,OldestGrowthStageGinger,Flowers_Seeds_PodsClimbingAsparagus,HeightMetresClimbingAsparagus,Area_m2ClimbingAsparagus,OldestGrowthStageClimbingAsparagus,Flowers_Seeds_PodsBushyAsparagus,HeightMetresBushyAsparagus,Area_m2BushyAsparagus,Flowers_Seeds_PodsWoolly,HeightMetresWoolly,Area_m2Woolly,OldestGrowthStageWoolly,Flowers_Seeds_PodsRhamnus,HeightMetresRhamnus,Area_m2Rhamnus,OldestGrowthStageRhamnus,Flowers_Seeds_PodsCoastalBanksia,HeightMetresCoastalBanksia,Area_m2CoastalBanksia,OldestGrowthStageCoastalBanksia,Flowers_Seeds_PodsJasmine,HeightMetresJasmine,Area_m2Jasmine,OldestGrowthStageJasmine,Flowers_Seeds_PodsBlueMorningGlory,HeightMetresBlueMorningGlory,Area_m2BlueMorningGlory,OldestGrowthStageBlueMorningGlory,Flowers_Seeds_PodsEnglishIvy,HeightMetresEnglishIvy,Area_m2EnglishIvy,OldestGrowthStageEnglishIvy,Flowers_Seeds_PodsPeriwinkle,HeightMetresPeriwinkle,Area_m2Periwinkle,Flowers_Seeds_PodsMadeiraVine,HeightMetresMadeiraVine,Area_m2MadeiraVine,OldestGrowthStageMadeiraVine,Flowers_Seeds_PodsHoneysuckle,HeightMetresHoneysuckle,Area_m2Honeysuckle,OldestGrowthStageHoneysuckle,x,y
26/05/2022 23:02,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.718394,-36.81759431
26/05/2022 23:11,S,,,,,,,,,4-NoSignOfFlowering,0.2,0.2,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7190894,-36.81727375
26/05/2022 23:12,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7193803,-36.81470017
26/05/2022 23:13,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.719508,-36.81438287
26/05/2022 23:16,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7195656,-36.81389224
26/05/2022 23:18,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7194748,-36.8137057
26/05/2022 23:20,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7194135,-36.81357046
26/05/2022 23:23,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7192763,-36.81333702
26/05/2022 23:25,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7191538,-36.8131597
26/05/2022 23:32,S,,,,,,,,,4-NoSignOfFlowering,1.5,50,Adult,,,,5-Pods or Fruit forming,2,8,Adult,,,,,,,,,4-NoSignOfFlowering,2,50,Adult,,,,,4-NoSignOfFlowering,5,30,Adult,,,,,,,,,,,,174.7188698,-36.81769159
26/05/2022 23:42,SQ,,,,,,,,,,,,,1-Too soon to tell,0.5,0.5,,,,,,,,,,,,,,,,,,,,,1-Too soon to tell,1,1,Adult,,,,,,,,,,,,174.7190787,-36.81298896
26/05/2022 23:44,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7190346,-36.81279869
26/05/2022 23:45,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7190076,-36.81262845
26/05/2022 23:47,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7190347,-36.81245302
26/05/2022 23:50,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7190596,-36.81225961
26/05/2022 23:58,SQ,,,,,4-NoSignOfFlowering,,5,Adult,4-NoSignOfFlowering,,10,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7190561,-36.81753074
27/05/2022 0:00,S,,,,,,,,,,,,,1-Too soon to tell,0.3,0.3,1-Too soon to tell,0.3,0.3,Seedling,,,,,,,,,1-Too soon to tell,1,1,Adult,,,,,1-Too soon to tell,1,2,Adult,,,,,,,,,,,,174.7190957,-36.8120856
27/05/2022 0:01,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7188351,-36.81812246
27/05/2022 0:02,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7191378,-36.8119051
27/05/2022 0:04,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7191803,-36.81172296
27/05/2022 0:05,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7188964,-36.81159383
27/05/2022 0:08,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7188313,-36.81177639
27/05/2022 0:20,SQ,,,,,4-NoSignOfFlowering,,2,Juvenile,4-NoSignOfFlowering,1.5,8,Juvenile,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,100,Adult,,,,,4-NoSignOfFlowering,1,20,Adult,,,,,,,,4-NoSignOfFlowering,2.5,5,Adult,174.7185942,-36.81800398
27/05/2022 0:22,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7184382,-36.81796136
27/05/2022 0:30,SQ,,,,,5-Pods or Fruit forming,1,2,Adult,1-Too soon to tell,0.5,0.5,Juvenile,1-Too soon to tell,0.5,1,1-Too soon to tell,0.3,1,Seedling,,,,,,,,,1-Too soon to tell,3,12,Adult,,,,,1-Too soon to tell,3,8,Adult,,,,,,,,,,,,174.7184722,-36.81177568
27/05/2022 0:39,S,,,,,,,,,4-NoSignOfFlowering,0.2,15,Adult,,,,1-Too soon to tell,0.2,0.5,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7184382,-36.81796136
27/05/2022 2:11,S,1-Too soon to tell,0.3,0.3,Juvenile,,,,,1-Too soon to tell,0.5,1,Juvenile,1-Too soon to tell,0.5,1,1-Too soon to tell,0.1,0.3,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,1,Adult,,,,,,,,,,,,174.7187258,-36.81231283
27/05/2022 2:44,S,,,,,,,,,,,,,1-Too soon to tell,0.5,2,4-NoSignOfFlowering,1,0.5,Adult,,,,,,,,,1-Too soon to tell,1,1,Adult,,,,,,,,,,,,,,,,,,,,174.7190486,-36.81356941
27/05/2022 2:58,S,1-Too soon to tell,0.3,1,Seedling,,,,,,,,,5-Pods or Fruit forming,0.5,6,1-Too soon to tell,0.1,0.5,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7191716,-36.81376119
31/05/2022 22:46,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7204674,-36.81200878
31/05/2022 22:48,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7204515,-36.81220647
31/05/2022 22:51,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7195065,-36.81242243
31/05/2022 22:59,S,,,,,,,,,,,,,4-NoSignOfFlowering,1,5,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,4,Juvenile,,,,,,,,1-Too soon to tell,2,4,Juvenile,174.7196749,-36.81247054
31/05/2022 23:32,SQ,4-NoSignOfFlowering,2,3,Juvenile,4-NoSignOfFlowering,1,1,Juvenile,,,,,3-Flowers visible,2,4,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,3,Juvenile,,,,,,,,,,,,174.7198746,-36.81254015
31/05/2022 23:36,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7200647,-36.81258261
31/05/2022 23:56,SQ,4-NoSignOfFlowering,3,5,Seedling,4-NoSignOfFlowering,1,2,Juvenile,4-NoSignOfFlowering,0.5,0.5,Seedling,4-NoSignOfFlowering,0.5,2,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1,2,Seedling,,,,,,,,,,,,174.7204152,-36.81268885
1/06/2022 0:00,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7205175,-36.81283645
1/06/2022 0:01,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7204085,-36.81295975
1/06/2022 0:25,SQ,4-NoSignOfFlowering,1,4,Juvenile,3-Flowers visible,2,4,Adult,4-NoSignOfFlowering,4,8,Adult,,,,4-NoSignOfFlowering,1,2,Seedling,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,5,Juvenile,,,,,,,,,,,,174.7208388,-36.81333325
1/06/2022 0:59,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7208181,-36.81554582
1/06/2022 1:01,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7208283,-36.81574019
1/06/2022 1:26,SQ,,,,,,,,,1-Too soon to tell,2,0.5,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,0.25,Adult,,,,,,,,,,,,174.7208925,-36.8162833
1/06/2022 1:46,S,1-Too soon to tell,0.5,0.25,Seedling,,,,,1-Too soon to tell,0.5,0.25,Seedling,,,,,,,,,,,,,,,,,,,,,,,,6-Pods bursting or fruit mature,3,4,Adult,,,,4-NoSignOfFlowering,2,3,Adult,,,,,174.7208441,-36.81592481
1/06/2022 1:57,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7200647,-36.81258261
1/06/2022 2:01,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7195214,-36.81270511
1/06/2022 2:25,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7101775,-36.81443249
1/06/2022 2:34,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7105552,-36.81484978
1/06/2022 2:51,SQ,,,,,,,,,4-NoSignOfFlowering,1.5,2,Juvenile,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,3,Adult,,,,,,,,,,,,,,,,,,,,174.7107831,-36.81488092
2/06/2022 22:35,SQ,4-NoSignOfFlowering,0.4,1,Juvenile,4-NoSignOfFlowering,1,1,Juvenile,,,,,6-Pods bursting or fruit mature,0.3,2,4-NoSignOfFlowering,0.3,0.5,Juvenile,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,,,,174.7159731,-36.81632529
2/06/2022 23:01,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,4,Adult,,,,2-Buds forming,1,2,Adult,,,,,174.7162206,-36.81632219
2/06/2022 23:18,S,6-Pods bursting or fruit mature,3.5,2,Adult,3-Flowers visible,1,0.5,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,2,Adult,,,,2-Buds forming,1.5,3,Adult,,,,,174.7164245,-36.8162885
2/06/2022 23:23,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7166433,-36.81620895
2/06/2022 23:28,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7169438,-36.81595909
2/06/2022 23:30,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7170736,-36.81582271
2/06/2022 23:34,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7172064,-36.81567155
2/06/2022 23:57,S,6-Pods bursting or fruit mature,2,2,Adult,,,,,4-NoSignOfFlowering,0.1,0.1,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,1,Adult,,,,,4-NoSignOfFlowering,0.2,1,Seedling,,,,,,,,,,,,174.7173442,-36.81552708
3/06/2022 0:00,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7174836,-36.81538053
3/06/2022 0:31,SQ,4-NoSignOfFlowering,1,0.2,Adult,3-Flowers visible,1.5,1,Adult,4-NoSignOfFlowering,1,1,Adult,,,,4-NoSignOfFlowering,3,0.1,Juvenile,,,,,,,,,4-NoSignOfFlowering,2,10,Adult,,,,,4-NoSignOfFlowering,1,2,Adult,,,,,,,,,,,,174.7175914,-36.815253
3/06/2022 0:33,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7175999,-36.81500632
3/06/2022 1:07,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7176845,-36.81474598
3/06/2022 1:48,SQ,6-Pods bursting or fruit mature,4,1,Adult,3-Flowers visible,1.5,3,Adult,1-Too soon to tell,0.5,0.5,Juvenile,,,,,,,,,,,,,,,,1-Too soon to tell,2,2,Adult,,,,,1-Too soon to tell,0.3,0.5,Juvenile,,,,,,,,,,,,174.7178664,-36.81449963
3/06/2022 1:52,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7175821,-36.81465419
3/06/2022 1:54,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7174151,-36.81483994
3/06/2022 1:56,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.717329,-36.81499848
3/06/2022 2:01,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7172425,-36.81514479
3/06/2022 2:04,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7171931,-36.81531184
3/06/2022 2:09,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7170225,-36.81547612
3/06/2022 2:32,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,1.5,4,Adult,,,,,,,,,,,,174.7168889,-36.81562566
3/06/2022 2:43,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7167478,-36.81578726
3/06/2022 2:46,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7165522,-36.81596001
3/06/2022 2:48,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7162941,-36.81607824
7/06/2022 22:25,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7122934,-36.81820083
7/06/2022 22:26,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7121722,-36.81797779
7/06/2022 22:27,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7120343,-36.81782042
7/06/2022 22:29,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7125427,-36.8179083
7/06/2022 22:34,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7108203,-36.82012146
7/06/2022 22:36,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7104465,-36.82030309
7/06/2022 22:55,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7178181,-36.81367858
7/06/2022 23:04,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7153587,-36.81470893
7/06/2022 23:07,SQ,,,,,4-NoSignOfFlowering,1,1,Seedling,4-NoSignOfFlowering,3,20,Adult,4-NoSignOfFlowering,4,6,,,,,,,,,,,,,4-NoSignOfFlowering,2,10,Adult,,,,,4-NoSignOfFlowering,2,5,,,,,,,,,,,,,174.710234,-36.82025808
7/06/2022 23:08,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7145029,-36.81444037
7/06/2022 23:08,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7103387,-36.81993714
7/06/2022 23:11,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7097968,-36.8201896
7/06/2022 23:13,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7098888,-36.8199195
7/06/2022 23:15,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.709859,-36.81979326
7/06/2022 23:22,SQ,4-NoSignOfFlowering,1,0.25,Juvenile,,,,,,,,,,,,4-NoSignOfFlowering,0.5,0.25,Juvenile,,,,,,,,,0-Don't know,3,2,Adult,,,,,4-NoSignOfFlowering,3,2,Adult,,,,,,,,,,,,174.7173933,-36.8136096
7/06/2022 23:29,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7144834,-36.81403414
7/06/2022 23:32,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7139602,-36.81404181
7/06/2022 23:36,SQ,,,,,,,,,,,,,6-Pods bursting or fruit mature,1,3,5-Pods or Fruit forming,1,2,Juvenile,,,,,,,,,4-NoSignOfFlowering,4,5,Juvenile,,,,,,,,,,,,,,,,,,,,174.7096366,-36.81961825
7/06/2022 23:38,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7093729,-36.81962542
7/06/2022 23:39,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.70917,-36.81949349
7/06/2022 23:42,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7091879,-36.81971179
7/06/2022 23:55,SQ,,,,,4-NoSignOfFlowering,1.5,2,Adult,4-NoSignOfFlowering,0.5,1,Juvenile,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,3,Adult,,,,,1-Too soon to tell,0.3,0.5,Juvenile,,,,,,,,,,,,174.713511,-36.8140735
7/06/2022 23:56,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7132889,-36.81403188
7/06/2022 23:59,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7131446,-36.81409541
8/06/2022 0:02,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7133731,-36.8141662
8/06/2022 0:08,SQ,,,,,,,,,4-NoSignOfFlowering,0.1,0.1,Seedling,4-NoSignOfFlowering,0.5,0.25,4-NoSignOfFlowering,0.25,0.1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,,,Seedling,,,,,174.7178044,-36.81349456
8/06/2022 0:09,SQ,,,,,1-Too soon to tell,0.2,0.2,Juvenile,1-Too soon to tell,0.2,0.2,Seedling,,,,,,,,,,,,,,,,4-NoSignOfFlowering,4,10,Adult,,,,,,,,,,,,,,,,,,,,174.709918,-36.81962462
8/06/2022 0:20,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7101311,-36.81958891
8/06/2022 0:22,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7103542,-36.81964365
8/06/2022 0:25,DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7105809,-36.81944336
8/06/2022 0:28,SQ,1-Too soon to tell,0.5,0.25,Seedling,6-Pods bursting or fruit mature,2,4,Adult,4-NoSignOfFlowering,0.5,0.25,Seedling,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.3,0.25,Juvenile,,,,,4-NoSignOfFlowering,1.5,3,Adult,,,,,,,,,,,,174.7137618,-36.81429767
8/06/2022 0:34,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7139873,-36.8144006
8/06/2022 0:36,S,,,,,,,,,4-NoSignOfFlowering,1,2,Adult,4-NoSignOfFlowering,0.5,4,,,,,,,,,,,,,4-NoSignOfFlowering,2,10,,,,,,,,,,,,,,,,,,,,,174.7178341,-36.81333006
8/06/2022 0:39,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7143225,-36.81461438
8/06/2022 0:42,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7179027,-36.81319075
8/06/2022 0:44,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.718003,-36.81304453
8/06/2022 0:48,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7150899,-36.81496009
8/06/2022 0:49,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7083267,-36.81772163
8/06/2022 0:50,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7153677,-36.81493666
8/06/2022 0:51,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7084428,-36.8179316
8/06/2022 0:52,S,,,,,,,,,,,,,4-NoSignOfFlowering,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.718182,-36.81293339
8/06/2022 0:53,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7088667,-36.81799702
8/06/2022 0:54,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7089745,-36.81810473
8/06/2022 0:57,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7086992,-36.81845673
8/06/2022 1:03,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7086992,-36.81845673
8/06/2022 1:09,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7094689,-36.81869825
8/06/2022 1:10,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7099134,-36.81889527
8/06/2022 1:12,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7096853,-36.81911374
8/06/2022 1:14,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7093998,-36.81906152
8/06/2022 1:16,DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7089093,-36.81906173
8/06/2022 1:18,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7084531,-36.81930883
8/06/2022 1:20,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7082609,-36.8194535
8/06/2022 1:23,SQ,,,,,4-NoSignOfFlowering,1,0.5,Juvenile,,,,,4-NoSignOfFlowering,1,3,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.5,0.25,Juvenile,,,,5-Pods or Fruit forming,2,2,Adult,,,,,174.7148806,-36.81465855
8/06/2022 1:27,SQ,,,,,,,,,,,,,4-NoSignOfFlowering,1,4,,,,,,,,,,,,,,,,,3-Flowers visible,3.5,20,Adult,4-NoSignOfFlowering,3,8,Adult,,,,,,,,,,,,174.7185574,-36.81275825
8/06/2022 1:28,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,0.1,0.2,Adult,,,,,,,,,,,,174.7080348,-36.81969
8/06/2022 1:49,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Too soon to tell,0.2,0.2,Seedling,,,,,,,,,,,,174.7080832,-36.81994699
8/06/2022 1:50,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7088671,-36.82076045
8/06/2022 1:52,DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.709144,-36.82074205
8/06/2022 1:53,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7093869,-36.82077634
8/06/2022 2:09,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7096067,-36.82081975
8/06/2022 2:15,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-NoSignOfFlowering,2,2,Adult,,,,,,,,,,,,174.7184199,-36.81306251
8/06/2022 2:23,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7097571,-36.81726231
8/06/2022 2:34,S,,,,,,,,,,,,,6-Pods bursting or fruit mature,1,3,4-NoSignOfFlowering,0.25,0.1,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7094976,-36.81733385
8/06/2022 2:38,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7095311,-36.81828016
8/06/2022 2:40,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7095647,-36.81791195
8/06/2022 2:43,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7095444,-36.81772008
8/06/2022 2:44,SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7097829,-36.82086569
8/06/2022 2:45,SQ,4-NoSignOfFlowering,0.5,0.1,Seedling,,,,,4-NoSignOfFlowering,1.5,2,Adult,4-NoSignOfFlowering,0.5,3,4-NoSignOfFlowering,0.1,0.5,Seedling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.718446,-36.81344762
